occupation,user_id,item_id,rating,age
administrator,378.66212060435885,406.1616526273566,3.6356464768017114,39.123144805455276
artist,492.75086655112653,429.5693240901213,3.653379549393414,30.592287694974004
doctor,392.69074074074075,438.1296296296296,3.688888888888889,35.592592592592595
educator,417.8718491844948,421.8981148061851,3.6706206312221985,42.78923956788816
engineer,491.199755351682,396.1149847094801,3.541406727828746,34.356085626911316
entertainment,312.3761336515513,442.4262529832936,3.4410501193317424,28.766109785202865
executive,413.83044372612403,464.36027034969146,3.3491037320011756,36.61416397296503
healthcare,497.5117689015692,568.3106276747503,2.896219686162625,38.885164051355204
homemaker,505.12709030100336,439.8628762541806,3.301003344481605,32.37123745819398
lawyer,423.2304832713755,422.74944237918214,3.7353159851301116,34.55613382899628
librarian,456.3756874644415,428.19040394462354,3.560781338896264,37.358050445666606
marketing,420.0974358974359,396.34,3.4856410256410255,36.47846153846154
none,269.0577136514983,459.6725860155383,3.779134295227525,25.007769145394008
other,530.6280596455032,420.53690331051297,3.5523773797242804,32.5689768357873
programmer,454.2980387129855,412.12331752339446,3.5682604794257147,32.500064094346875
retired,380.56619018023616,453.52019888129274,3.4667495338719703,61.75574891236793
salesman,475.37032710280374,411.05724299065423,3.582943925233645,33.470794392523366
scientist,503.5500485908649,362.23226433430517,3.611273080660836,35.34305150631681
student,490.84301134034706,430.9644760213144,3.5151432345038027,22.142870155303548
technician,475.5964061608671,386.3097547062179,3.5322304620650313,31.7124928693668
writer,498.09609826589593,447.3544075144509,3.3757225433526012,34.32586705202312
